Doctor_ID,First_Name,Middle_Name,Last_Name,Gender,Age,Specialty,Experience_Years,Contact_Email,Contact_Phone,Hospital,Location,Phone_Number,Address,Specialised in Operations
D00001,Jessica,Jason,Ortega,M,61,Radiology,26,jessica.ortega@example.com,3877126430,SSM Health Hospital,"Saint Louis, Missouri, United States",3140806892,"5678 Elm St, Kansas City, MO 64106","CT-guided biopsy, Angioplasty"
D00002,Eric,Mia,Harper,M,56,Orthopedics,19,eric.harper@example.com,2566157875,SSM Health Hospital,"Saint Louis, Missouri, United States",3141327046,"2222 Oak St, Columbia, MO 65201","Total Knee Replacement, Spinal Fusion Surgery"
D00003,Stephen,Gabriela,Mercado,F,58,Pediatrics,14,stephen.mercado@example.com,566844545,SSM Health Hospital,"Saint Louis, Missouri, United States",3146167414,"3333 Pine St, Independence, MO 64050","Pediatric Hernia Repair, Tonsillectomy"
D00004,Jason,Edward,Ferrell,F,47,Radiology,17,jason.ferrell@example.com,6028076740,SSM Health Hospital,"Saint Louis, Missouri, United States",3147942870,"8888 Willow Way, Chesterfield, MO 63005","CT-guided biopsy, Angioplasty"
D00005,Matthew,Stephanie,Parker,M,35,Anesthesiology,13,matthew.parker@example.com,6290886037,SSM Health Hospital,"Saint Louis, Missouri, United States",3140012098,"2222 Oak St, Columbia, MO 65201","Epidural Anesthesia, General Anesthesia for Surgery"
D00006,Courtney,Luis,Contreras,M,62,Radiology,25,courtney.contreras@example.com,891106860,SSM Health Hospital,"Saint Louis, Missouri, United States",3149191431,"9101 Maple Ave, Springfield, MO 65807","CT-guided biopsy, Angioplasty"
D00007,Angela,Riley,Fox,M,37,Cardiology,24,angela.fox@example.com,4905499639,SSM Health Hospital,"Saint Louis, Missouri, United States",3146195974,"4444 Cedar Dr, Lee's Summit, MO 64063","Coronary Artery Bypass Grafting (CABG), Pacemaker Implantation"
D00008,Katherine,William,Higgins,F,55,Pediatrics,36,katherine.higgins@example.com,838330305,SSM Health Hospital,"Saint Louis, Missouri, United States",3140854115,"8888 Willow Way, Chesterfield, MO 63005","Pediatric Hernia Repair, Tonsillectomy"
D00009,Jason,Robert,Villanueva,F,55,Psychiatry,30,jason.villanueva@example.com,4481644630,SSM Health Hospital,"Saint Louis, Missouri, United States",3142708529,"4444 Cedar Dr, Lee's Summit, MO 64063","Electroconvulsive Therapy (ECT), Psychopharmacological Intervention"
D00010,Joseph,Teresa,Garcia,F,57,Psychiatry,27,joseph.garcia@example.com,9668255610,SSM Health Hospital,"Saint Louis, Missouri, United States",3142401452,"3333 Pine St, Independence, MO 64050","Electroconvulsive Therapy (ECT), Psychopharmacological Intervention"
D00011,Sheila,Michael,Simmons,M,64,Anesthesiology,33,sheila.simmons@example.com,1795399084,SSM Health Hospital,"Saint Louis, Missouri, United States",3149129139,"8888 Willow Way, Chesterfield, MO 63005","Epidural Anesthesia, General Anesthesia for Surgery"
D00012,Kyle,Kristin,Nicholson,M,62,Dermatology,32,kyle.nicholson@example.com,776517663,SSM Health Hospital,"Saint Louis, Missouri, United States",3146772793,"3333 Pine St, Independence, MO 64050","Excision of Skin Cancer, Laser Skin Resurfacing"
D00013,Robert,Lisa,Bailey,F,50,Dermatology,33,robert.bailey@example.com,3887001654,SSM Health Hospital,"Saint Louis, Missouri, United States",3143435585,"5678 Elm St, Kansas City, MO 64106","Excision of Skin Cancer, Laser Skin Resurfacing"
D00014,Keith,Sara,Riley,F,38,Internal Medicine,14,keith.riley@example.com,9999498248,SSM Health Hospital,"Saint Louis, Missouri, United States",3145254397,"6666 Walnut St, Florissant, MO 63031","Colonoscopy, Angioplasty for Coronary Artery Disease"
D00015,Maria,Jennifer,Duncan,F,44,Orthopedics,30,maria.duncan@example.com,5016018646,SSM Health Hospital,"Saint Louis, Missouri, United States",3142848534,"2222 Oak St, Columbia, MO 65201","Total Knee Replacement, Spinal Fusion Surgery"
