Unnamed: 0,Patient_ID,PREFIX,FIRST,MIDDLE,LAST,GENDER,BIRTHDATE,AGE,MARITAL,STATE,FIPS,PHONE_NO,DRIVERS,SUFFIX,RACE,DEATHDATE,HEALTHCARE_EXPENSES,INCOME,BIRTHPLACE,SSN,PASSPORT,ETHNICITY,HEALTHCARE_COVERAGE,Doctor_ID,Address,Cause of Operation
0,P00001,Master,Benjamin,Rafael,Perkins,F,12/16/1996,29,Divorced,MO,,6240836560,No,III,African American,,6598,99712,California,584-55-5661,P307027359,Hispanic or Latino,8221,D00039,2912 CHASE PARK LN SAINT LOUIS MO 63122-4558 USA,Coronary Artery Bypass Grafting (CABG)
1,P00002,Master,Sandra,Michael,Hopkins,M,04/04/1978,47,Single,MO,,5338315465,Yes,Sr.,African American,,7425,71654,Missouri,115-72-7481,P706906129,Other,2621,D00018,9679 TORLINA DR SAINT LOUIS MO 63122-8497 USA,Epidural Anesthesia
2,P00003,Dr.,Benjamin,Stephanie,Davis,F,05/05/1956,69,Single,MO,,3443812793,Yes,Jr.,Asian,,19932,86871,Kansas,560-70-4446,P311425728,Hispanic or Latino,1784,D00018,3399 BROADWAY ST SAINT LOUIS MO 63102-1552 USA,Epidural Anesthesia
3,P00004,Master,Samuel,Stephanie,Wright,M,11/07/1952,73,Divorced,MO,,6714022829,Yes,,Asian,,17768,35608,Illinois,444-49-9794,P547938950,White,8771,D00021,8211 TORLINA DR SAINT LOUIS MO 63111-3868 USA,Epidural Anesthesia
4,P00005,Master,Kathryn,Lynn,Perkins,F,09/16/1990,35,Single,MO,,1133419839,Yes,III,African American,,18886,46070,Texas,296-35-3189,P179511240,Hispanic or Latino,6636,D00033,8430 PINE ST SAINT LOUIS MO 63126-9618 USA,Coronary Artery Bypass Grafting (CABG)
5,P00006,Ms.,Scott,Lynn,Hopkins,M,03/06/1983,42,Married,MO,,1766157237,Yes,Jr.,African American,,7874,66216,California,441-56-9247,P617349449,Other,1944,D00046,4859 MAPLE LN SAINT LOUIS MO 63110-5138 USA,Electroconvulsive Therapy (ECT)
6,P00007,Ms.,Dawn,Stephanie,Rodriguez,F,10/05/1993,32,Widowed,MO,,9524244061,Yes,Jr.,Caucasian,,8054,71071,Kansas,807-75-3565,P996291893,Other,8665,D00024,7572 PINE ST SAINT LOUIS MO 63122-2944 USA,Pediatric Hernia Repair
7,P00008,Ms.,Jennifer,Brendan,Cook,M,06/08/2003,22,Married,MO,,2637391970,No,Sr.,African American,,13871,80361,Texas,660-42-8166,P279631548,Hispanic or Latino,402,D00040,4990 LAFAYETTE AVE SAINT LOUIS MO 63102-4799 USA,CT-guided biopsy
8,P00009,Ms.,Dawn,Rafael,Williams,M,04/10/1978,47,Married,MO,,8597781163,Yes,Jr.,Native American,,8865,53392,Texas,909-34-6222,P659360214,Black,5345,D00028,5227 TORLINA DR SAINT LOUIS MO 63130-2584 USA,Pediatric Hernia Repair
9,P00010,Mr.,Dawn,Lynn,Castro,F,05/18/1972,53,Widowed,MO,,6093503087,No,,Asian,,15954,76349,Texas,254-16-5960,P411161956,Asian,9959,D00045,9018 LAFAYETTE AVE SAINT LOUIS MO 63126-3472 USA,Appendectomy
