Doctor_ID,First_Name,Middle_Name,Last_Name,Gender,Age,Specialty,Experience_Years,Contact_Email,Contact_Phone,Hospital,Location,Phone_Number,Address
D00001,Jessica,Jason,Ortega,M,61,Vascular Surgeon,26,jessica.ortega@example.com,3877126430,SSM Health Hospital,"Saint Louis, Missouri, United States",3140806892,"5678 Elm St, Kansas City, MO 64106"
D00002,Eric,Mia,Harper,M,56,ENT Surgeon,19,eric.harper@example.com,2566157875,SSM Health Hospital,"Saint Louis, Missouri, United States",3141327046,"2222 Oak St, Columbia, MO 65201"
D00003,Stephen,Gabriela,Mercado,F,58,Plastic Surgeon,14,stephen.mercado@example.com,0566844545,SSM Health Hospital,"Saint Louis, Missouri, United States",3146167414,"3333 Pine St, Independence, MO 64050"
D00004,Jason,Edward,Ferrell,F,47,ENT Surgeon,17,jason.ferrell@example.com,6028076740,SSM Health Hospital,"Saint Louis, Missouri, United States",3147942870,"8888 Willow Way, Chesterfield, MO 63005"
D00005,Matthew,Stephanie,Parker,M,35,Vascular Surgeon,13,matthew.parker@example.com,6290886037,SSM Health Hospital,"Saint Louis, Missouri, United States",3140012098,"2222 Oak St, Columbia, MO 65201"
D00006,Courtney,Luis,Contreras,M,62,Cardiothoracic Surgeon,25,courtney.contreras@example.com,0891106860,SSM Health Hospital,"Saint Louis, Missouri, United States",3149191431,"9101 Maple Ave, Springfield, MO 65807"
D00007,Angela,Riley,Fox,M,37,Ophthalmologist,24,angela.fox@example.com,4905499639,SSM Health Hospital,"Saint Louis, Missouri, United States",3146195974,"4444 Cedar Dr, Lee's Summit, MO 64063"
D00008,Katherine,William,Higgins,F,55,Anesthesiologist,36,katherine.higgins@example.com,0838330305,SSM Health Hospital,"Saint Louis, Missouri, United States",3140854115,"8888 Willow Way, Chesterfield, MO 63005"
D00009,Jason,Robert,Villanueva,F,55,General Surgeon,30,jason.villanueva@example.com,4481644630,SSM Health Hospital,"Saint Louis, Missouri, United States",3142708529,"4444 Cedar Dr, Lee's Summit, MO 64063"
D00010,Joseph,Teresa,Garcia,F,57,General Surgeon,27,joseph.garcia@example.com,9668255610,SSM Health Hospital,"Saint Louis, Missouri, United States",3142401452,"3333 Pine St, Independence, MO 64050"
D00011,Sheila,Michael,Simmons,M,64,Vascular Surgeon,33,sheila.simmons@example.com,1795399084,SSM Health Hospital,"Saint Louis, Missouri, United States",3149129139,"8888 Willow Way, Chesterfield, MO 63005"
D00012,Kyle,Kristin,Nicholson,M,62,Orthopedic Surgeon,32,kyle.nicholson@example.com,0776517663,SSM Health Hospital,"Saint Louis, Missouri, United States",3146772793,"3333 Pine St, Independence, MO 64050"
D00013,Robert,Lisa,Bailey,F,50,General Surgeon,33,robert.bailey@example.com,3887001654,SSM Health Hospital,"Saint Louis, Missouri, United States",3143435585,"5678 Elm St, Kansas City, MO 64106"
D00014,Keith,Sara,Riley,F,38,Neurosurgeon,14,keith.riley@example.com,9999498248,SSM Health Hospital,"Saint Louis, Missouri, United States",3145254397,"6666 Walnut St, Florissant, MO 63031"
D00015,Maria,Jennifer,Duncan,F,44,ENT Surgeon,30,maria.duncan@example.com,5016018646,SSM Health Hospital,"Saint Louis, Missouri, United States",3142848534,"2222 Oak St, Columbia, MO 65201"
D00016,Maria,Antonio,Clarke,F,51,Ophthalmologist,23,maria.clarke@example.com,7860988816,SSM Health Hospital,"Saint Louis, Missouri, United States",3141075945,"5678 Elm St, Kansas City, MO 64106"
D00017,Katrina,Katherine,Sullivan,M,40,Cardiothoracic Surgeon,25,katrina.sullivan@example.com,2615891161,SSM Health Hospital,"Saint Louis, Missouri, United States",3140323497,"7777 Cherry Blvd, Joplin, MO 64801"
D00018,Tracy,Christian,Fox,M,62,ENT Surgeon,22,tracy.fox@example.com,6182109060,SSM Health Hospital,"Saint Louis, Missouri, United States",3142511760,"3333 Pine St, Independence, MO 64050"
D00019,Laurie,Brian,Pierce,M,51,Ophthalmologist,29,laurie.pierce@example.com,9129634914,SSM Health Hospital,"Saint Louis, Missouri, United States",3140371542,"5678 Elm St, Kansas City, MO 64106"
D00020,Michael,Elizabeth,Estes,F,42,Plastic Surgeon,23,michael.estes@example.com,0791981154,SSM Health Hospital,"Saint Louis, Missouri, United States",3147218144,"7777 Cherry Blvd, Joplin, MO 64801"
D00021,Jose,Daniel,Martin,F,58,Cardiothoracic Surgeon,34,jose.martin@example.com,3254321301,SSM Health Hospital,"Saint Louis, Missouri, United States",3146038197,"1234 Main St, St. Louis, MO 63101"
D00022,Melissa,Gerald,Johnson,F,51,Vascular Surgeon,18,melissa.johnson@example.com,9600534925,SSM Health Hospital,"Saint Louis, Missouri, United States",3143224899,"5555 Birch Ln, St. Charles, MO 63301"
D00023,Hector,Jose,Vance,M,59,Critical Care Specialist,24,hector.vance@example.com,4717364623,SSM Health Hospital,"Saint Louis, Missouri, United States",3140101140,"4444 Cedar Dr, Lee's Summit, MO 64063"
D00024,Isaiah,Keith,Rodriguez,F,56,Cardiothoracic Surgeon,14,isaiah.rodriguez@example.com,1438555725,SSM Health Hospital,"Saint Louis, Missouri, United States",3146490067,"5555 Birch Ln, St. Charles, MO 63301"
D00025,Hector,David,Peterson,M,63,General Surgeon,21,hector.peterson@example.com,0470852296,SSM Health Hospital,"Saint Louis, Missouri, United States",3141271337,"3333 Pine St, Independence, MO 64050"
D00026,David,Joseph,Miller,M,53,Ophthalmologist,37,david.miller@example.com,8809075945,SSM Health Hospital,"Saint Louis, Missouri, United States",3144035016,"2222 Oak St, Columbia, MO 65201"
D00027,Ashley,Adriana,Mcfarland,M,52,ENT Surgeon,34,ashley.mcfarland@example.com,8785183993,SSM Health Hospital,"Saint Louis, Missouri, United States",3144816891,"4444 Cedar Dr, Lee's Summit, MO 64063"
