,Patient_ID,PREFIX,FIRST,MIDDLE,LAST,GENDER,BIRTHDATE,AGE,MARITAL,STATE,FIPS,PHONE_NO,DRIVERS,SUFFIX,COUNTY,RACE,CITY,LON,ADDRESS,LAT,DEATHDATE,HEALTHCARE_EXPENSES,MAIDEN,INCOME,ZIP,BIRTHPLACE,SSN,PASSPORT,ETHNICITY,HEALTHCARE_COVERAGE
0,P00001,Mr.,Sandra,Michael,Hopkins,M,1999-06-26,25,Married,MO,29925,3147437053,D2249781,III,Boone,Asian,Springfield,-90.791824,6901 Main St,37.165308,,11290,,42016,64106,Missouri,290-17-9822,P724455423,Hispanic or Latino,14204
1,P00002,Mrs.,Samuel,Julian,Davis,F,1995-04-01,29,Widowed,MO,29323,3143846242,D7375005,Jr.,Jackson,Asian,Kansas City,-92.922498,7329 Main St,36.462912,,10353,Davis,110816,65201,Missouri,530-76-9008,P980940282,Not Hispanic or Latino,5016
2,P00003,Mr.,Kathryn,Melissa,Williams,M,1964-06-21,60,Married,MO,29105,3143020809,D7945192,,Boone,Other,St. Louis,-94.494327,394 Main St,38.563243,,8191,,48507,63101,Missouri,860-83-7548,P826368345,Not Hispanic or Latino,5027
3,P00004,Master,Dawn,Justin,Castro,M,2010-02-07,15,Widowed,MO,29919,3143132507,D6225128,,Jackson,Other,Columbia,-91.59988,7314 Main St,38.970879,,10016,,102444,63101,Missouri,957-65-3211,P985615286,Not Hispanic or Latino,10842
4,P00005,Master,Jasmine,Leslie,Diaz,M,2014-07-17,10,Married,MO,29841,3147923377,D8706994,,Greene,Black,Springfield,-90.575113,7543 Main St,36.820231,,13884,,61881,65807,Missouri,922-54-8200,P354962526,Hispanic or Latino,11354
5,P00006,Mr.,Benjamin,Regina,Wright,M,1988-10-24,36,Divorced,MO,29898,3146561257,D7857468,Sr.,St. Louis,Other,Independence,-91.126496,9195 Main St,38.49729,,13134,,55493,64050,Missouri,653-52-7916,P836575962,Not Hispanic or Latino,1492
6,P00007,Mrs.,Jennifer,Miguel,Rodriguez,F,1987-05-18,37,Married,MO,29187,3148355112,D4012639,,St. Charles,Other,Kansas City,-93.87096,3831 Main St,38.158935,,11345,Rodriguez,110354,63101,Missouri,330-17-3859,P890532651,Hispanic or Latino,1772
7,P00008,Master,Rebecca,Benjamin,Cook,M,2008-03-16,16,Divorced,MO,29101,3149013594,D6451025,,Jackson,Black,Springfield,-90.535623,6669 Main St,36.534823,,13687,,20965,63101,Missouri,156-72-3891,P855187407,Hispanic or Latino,7907
8,P00009,Mrs.,Scott,Jacqueline,Perkins,F,1947-11-20,77,Widowed,MO,29297,3145976386,D6282644,,Boone,White,St. Louis,-94.377763,4243 Main St,36.121876,,9976,Perkins,39385,65807,Missouri,987-84-7923,P724154115,Hispanic or Latino,3781
9,P00010,Miss,Patrick,Kimberly,Brown,F,2007-11-06,17,Single,MO,29938,3147080168,D5154533,,St. Charles,Asian,Independence,-90.593437,3061 Main St,38.236701,,9202,Brown,76499,64106,Missouri,315-95-2753,P408601326,Hispanic or Latino,10631
10,P00011,Mrs.,John,Melissa,Alexander,F,1961-01-10,64,Married,MO,29852,3140920349,D8980054,III,St. Charles,Black,St. Louis,-93.810499,3645 Main St,38.671453,,19241,Alexander,64222,65201,Missouri,829-88-8768,P414049285,Not Hispanic or Latino,12939
